TIG_PostNL2014::Enabled,Geactiveerd
TIG_PostNL2014::Insured,Verzekerd
TIG_PostNL2014::PostNL version %s,PostNL versie %s
TIG_PostNL2014::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
TIG_PostNL2014::Magento Community Edition version,Magento Community Edition versie
TIG_PostNL2014::Magento Enterprise Edition version,Magento Enterprise Edition versie
TIG_PostNL2014::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
TIG_PostNL2014::IWD's OnePageCheckout version,IWD's OnePageCheckout versie
TIG_PostNL2014::Support,Ondersteuning
TIG_PostNL2014::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
TIG_PostNL2014::Account questions and information,Account vragen en informatie
"TIG_PostNL2014::For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.","Voor vragen gerelateerd aan uw account, configuratie problemen, extensie conflicten en bugs, neemt u contact op met ons."
TIG_PostNL2014::Phone,Telefoon
TIG_PostNL2014::Online knowledgebase,Online kennisbank
TIG_PostNL2014::Request help directly,Vraag direct hulp
TIG_PostNL2014::Email,E-mail
TIG_PostNL2014::Documentation,Documentatie
TIG_PostNL2014::A list of documents regarding the extension.,Een lijst met document aangaande de extensie.
TIG_PostNL2014::View the installation and configuration manual.,Bekijk de installatie en configuratie handleiding.
TIG_PostNL2014::Installation and configuration manual,Installatie en configuratie handleiding
TIG_PostNL2014::View the user manual.,Bekijk de gebruikers handleiding
TIG_PostNL2014::User manual,Gebruikers handleiding
TIG_PostNL2014::View the complete changelog of the extension.,Bekijk de volledige release notes van de extensie
TIG_PostNL2014::Latest stable release,Laatste stabiele versie
TIG_PostNL2014::Full changelog,Volledige release notes
TIG_PostNL2014::PostNL PgAddress class missing.,PostNL PgAddress class mist
TIG_PostNL2014::Select a transactional e-mail template to send the retourlink,Selecteer een transactionele e-mail template om de retourlink te verzenden.
TIG_PostNL2014::Select a transactional e-mail template to send the barcode,Selecteer een transactionele e-mail template om de Track&amp;Trace code te versturen
TIG_PostNL2014::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,"Maak een transactionele e-mail aan, daarin zal de variabele {{var retourlink}} beschikbaar zijn om te retourlink te verzenden."
TIG_PostNL2014::Unable to send track and trace email for shipment #,Versturen van track & trace e-mail mislukt voor zending #
TIG_PostNL2014::Track&amp;Trace e-mail is sent: %s,Track & Trace e-mail is verzonden: %s
TIG_PostNL2014::Credit Consignment,Crediteer zending
TIG_PostNL2014::Mail return label,Mail retourlabel
TIG_PostNL2014::Retour label mailed,Retour label is gemaild naar de klant
TIG_PostNL2014::This only works for Dutch addresses,Dit werkt alleen voor nederlandse adressen
TIG_PostNL2014::Name client,Naam klant
TIG_PostNL2014::Email client,Email klant
TIG_PostNL2014::Label description,Eigen kenmerk
TIG_PostNL2014::You did not specify a name,Je hebt geen naam opgeven
TIG_PostNL2014::You did not specify a email,Je hebt geen email opgeven
TIG_PostNL2014::Mail send to,Mail verzonden naar
"TIG_PostNL2014::Credit has not been created, check PostNL backend for details","Credit is niet aangemaakt, zie PostNL backend voor meer informatie."
TIG_PostNL2014::Consignment %s is credited at PostNL,Zending %s is gecrediteerd bij PostNL.
"TIG_PostNL2014::Select 'no' if you have problems with addresses on the labels","Selecteer 'nee' als u problemen heeft met adressen op de labels."
TIG_PostNL2014::Split street parts,Deel straatnaam velden op
TIG_PostNL2014::Streetname field,Straatnaam veld
TIG_PostNL2014::Housenr. field,Huisnummer veld
TIG_PostNL2014::Split house number parts,Deel huisnummervelden op
TIG_PostNL2014::Housenr. extension field,Huisnr. extensie veld
TIG_PostNL2014::Street line #%s,Adresregel #%s
TIG_PostNL2014::The weight in Magento is specified in gram instead of kg,Het gewicht in Magento is opgegeven in gram i.p.v. kg
TIG_PostNL2014::Select 'Yes' if the weight is not properly picked up by the PostNL plugin,Selecteer 'Ja' als het gewicht niet goed wordt opgepakt door de PostNL plugin
TIG_PostNL2014::This will be added to the regular shipping price,Dit zal bij de normale verzendkosten worden opgeteld
TIG_PostNL2014::Not possible if Pickup at PostNL location is not active,Dit zal niet mogelijk zijn zodra ophalen bij een PostNL locatie niet geactiveerd is
TIG_PostNL2014::Default shipment type for Cross Domestic shipments,Standaard verzend inhoud voor Cross Domestic verzendingen
"TIG_PostNL2014::When changing the address, you need to cancel the current PostNL shipment(s) linked to this order and create new PostNL shipments.","Wanneer het adres gewijzigd wordt, bent u genoodzaakt om de gekoppelde PostNL verzendingen te crediteren en nieuwe PostNL verzendingen aan te maken."
"TIG_PostNL2014::To read the instructions for the Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","Klik <a target=""_blank"" href=""%s"">hier</a> om de handleiding van de Magento extensie te bekijken."
TIG_PostNL2014::When using the extension please note:,Aandachtspunten bij het gebruik van deze extensie:
TIG_PostNL2014::To be able to configure the extension you need to possess and use an active account.,U dient een actief account te hebben om de extensie te kunnen configureren.
"TIG_PostNL2014::During the transition phase the old Magento PostNL extension can remain active. However, you do need to turn off PakjeGemak in the old PostNL extension.",Indien u de oude PostNL extensie gebruikt kan deze actief blijven in de overgangsfase. Wel dient u PakjeGemak in de oude PostNL extensie uit te schakelen.
TIG_PostNL2014::We cannot guarantee perfect functionality of the extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact us.<br><br>Supported extensions:,"Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met ons.<br><br>Ondersteunde extensies:"
TIG_PostNL2014::Installation and configuration instructions,Installatie en configuratie handleiding
TIG_PostNL2014::Overview articles in knowledge base,Meest gestelde vragen
TIG_PostNL2014::Questions and information about your account,Account vragen en informatie
"TIG_PostNL2014::Shipments will not be delivered at the neighbours, only on house address.","Zendingen worden niet bij de buren aangeboden, alleen op huisadres."
TIG_PostNL2014::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Zendingen gaan niet naar een afhaallocatie en komen direct retour na bezorgpogingen.
TIG_PostNL2014::Unable to save check_status cron expression: %s,Het is niet gelukt om de check_status cron expressie op te slaan: %s
TIG_PostNL2014::Some of the shipments could not be created or could not be created at PostNL from the selected orders. See below for detailed information.,Een aantal van de geselecteerde orders is een foutmelding opgetreden tijdens het aanmaken van de verzending. Zie hieronder voor gedetailleerde informatie.
TIG_PostNL2014::Select A4 print start position,Selecteer de A4 print start positie
"TIG_PostNL2014::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Vul de goederen code voor zendingen buiten de EU in, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de bestaande codes."
TIG_PostNL2014::Create PostNL Consignment,Cre&euml;er PostNL verzending
TIG_PostNL2014::Orders until today,Alle orders t/m vandaag verzenden
TIG_PostNL2014::Send today,Alleen vandaag verzenden
TIG_PostNL2014::Send until tomorrow,Alle orders t/m morgen verzenden
TIG_PostNL2014::Send later,Later verzenden
TIG_PostNL2014::Old orders,Alle orders t/m gisteren
TIG_PostNL2014::Track&amp;Trace link: %s,Track&amp;Trace link: %s
TIG_PostNL2014::Is letter box parcel,Is brievenbuspakje
TIG_PostNL2014::Shipment type,Zendingtype
TIG_PostNL2014::Accordance with type consignment,Conform type zending
TIG_PostNL2014::Normal,Pakket
TIG_PostNL2014::Letter box,Brievenbuspakje
TIG_PostNL2014::Unstamped,Ongefrankeerd
TIG_PostNL2014::The PostNL consignment is successfully created.,De PostNL zending is succesvol aangemaakt.
TIG_PostNL2014::Choose a pickup location,Selecteer PostNL Verzendopties
TIG_PostNL2014::Selected post office location:,Geselecteerde postkantoor locatie:
TIG_PostNL2014::Zipcode,Postcode
TIG_PostNL2014::Search by zipcode, address or city,Zoek op postcode, adres of plaats
TIG_PostNL2014::Search by zipcode and housenumber,Zoeken op postcode en huisnummer
"TIG_PostNL2014::Search by zipcode, address or city","Zoek op postcode, adres of plaats"
"TIG_PostNL2014::Search by zipcode and housenumber","Zoeken op postcode en huisnummer"
"TIG_PostNL2014::Unfortunately no locations could be found. Please check your postcode and house number combination.","Er zijn geen resultaten gevonden. Probeer een andere postcode/huisnummer combinatie en/of verwijder de huisnummertoevoeging."
TIG_PostNL2014::Housenumber,Huisnummer
TIG_PostNL2014::Search,Zoeken
TIG_PostNL2014::Nearest postnl pickup points,Dichtstbijzijnde afhaal locaties
TIG_PostNL2014::PostNL location Method name,PostNL locatie methode naam
TIG_PostNL2014::Unpaid,Ongefrankeerd
TIG_PostNL2014::The consignment is already credited.,Deze zending is al gecrediteerd.
TIG_PostNL2014::PostNL - Create labels,PostNL - Cre&euml;er labels
TIG_PostNL2014::Print packing slip,Print pakbon
TIG_PostNL2014::Send,Verzenden
TIG_PostNL2014::Today,Vandaag
TIG_PostNL2014::Letterbox,Brievenbuspakje
TIG_PostNL2014::Select,Selecteer
TIG_PostNL2014::Insured up to:,Verzekeren tot:
TIG_PostNL2014::Close,Sluiten
TIG_PostNL2014::International shipments can not be sent by,Internationale zendingen kunnen niet verzonden worden met een
TIG_PostNL2014::Choose a PostNL pickup location,Kies PostNL afhaallocatie
"TIG_PostNL2014::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","Het geselecteerde zending-type kan niet gebruikt worden, 'PostNL locatie' zendingen kunnen enkel aangemaakt worden met het normale verzend-type."
TIG_PostNL2014::Create shipments (no labels),Cre&euml;er verzendingen (geen labels)
TIG_PostNL2014::Insured up to &euro;%s,Verzekerd tot &euro;%s
TIG_PostNL2014::Total order value: &euro; %s,Totaal order bedrag: &euro; %s
TIG_PostNL2014::Shipment insured up to &euro; %s purchase value,Verzekerd tot een inkoopbedrag van € %s,-
TIG_PostNL2014::Post Office Address,Gekozen afhaallocatie
"TIG_PostNL2014::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a PostNL shipment, select a different shipment type or go to the shipment page to create a single PostNL shipment. <a target=""_blank"" href=""%s"">View shipment</a>","De geselecteerde zending type kan niet gebruikt worden. 'PostNL locatie' zendingen kunnen enkel aangemaakt worden middels de normale verzendtype. <br/>De Magento zending is aangemaakt zonder een PostNL zending, selecteer een ander verzend type of ga naar de Magento zending pagina en maak daar een PostNL zending aan. <a target=""_blank"" href=""%s"">Bekijk zending</a>"
TIG_PostNL2014::Only for dutch shipments,Alleen voor Nederlandse verzendingen
"TIG_PostNL2014::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
TIG_PostNL2014::Always use PostNL,Gebruik PostNL voor alle verzendmethodes
"TIG_PostNL2014::Select 'No' in order to set the shipping methods that must be regarded as PostNL.","Selecteer 'Nee' om de verzendmethodes in te stellen die als PostNL beschouwd moet worden."
TIG_PostNL2014::Use shipment address for PostNL location,Voeg PostNL locatie toe aan het afleveradres
TIG_PostNL2014::Use shipment address for 'Ophalen op een PostNL locatie'. The customer will see the address on the invoice. Set to 'No' if you are using AfterPay.,Gebruik het afleveradres voor 'Ophalen op een PostNL locatie'. De klant zal het adres op het factuur zien. Stel in op 'Nee' als je bijvoorbeeld AfterPay gebruikt.
TIG_PostNL2014::Show delivery date on invoice,"Toon bezorgdatum op factuur"
"TIG_PostNL2014::Show delivery date on invoice, packing slip, user account and Magento confirmation mail","Toon bezorgdatum op factuur, pakbon, gebruikersaccount en Magento orderbevestiging"
TIG_PostNL2014::Use filter in order overview,Gebruik filter in order overzicht
"TIG_PostNL2014::Select 'No' if you are using a plugin that is present in the order summary and therefore experience problems.","Selecteer 'nee' als je een plugin gebruikt die aanwezig is in het order overzicht en daardoor problemen ervaart."

TIG_PostNL2014::status_1,Concept
TIG_PostNL2014::status_2,Voorgemeld
TIG_PostNL2014::status_3,Aangeboden aan postNL
TIG_PostNL2014::status_4,In sorteerproces
TIG_PostNL2014::status_5,In distributie
TIG_PostNL2014::status_6,Zending bij douane
TIG_PostNL2014::status_7,Zending afgeleverd
TIG_PostNL2014::status_8,Zending op afhaallocatie
TIG_PostNL2014::status_9,Zending afgehaald op afhaallocatie
TIG_PostNL2014::status_10,Retourzending afgeleverd
TIG_PostNL2014::status_11,Retourzending op afhaallocatie
TIG_PostNL2014::status_12,Ongefrankeerd label geprint
TIG_PostNL2014::status_13,Gecrediteerd
TIG_PostNL2014::status_30,Inactief - Concept
TIG_PostNL2014::status_31,Inactief - Voorgemeld
TIG_PostNL2014::status_32,Inactief - Aangeboden bij PostNL
TIG_PostNL2014::status_33,Inactief - In sorteerprocess
TIG_PostNL2014::status_34,Inactief - In distributie
TIG_PostNL2014::status_35,Inactief - Zending bij douane
TIG_PostNL2014::status_36,Inactief - Zending afgeleverd
TIG_PostNL2014::status_37,Inactief - Zending op afhaallocatie
TIG_PostNL2014::status_38,Inactief - Zending afgehaald op afhaallocatie
TIG_PostNL2014::status_39,Inactief - Retourzending afgeleverd
TIG_PostNL2014::status_40,Inactief - Retourzending op afhaallocactie
TIG_PostNL2014::status_99,Inactief - Onbekende status

"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Specifieke landen"
"The configuration has been saved.","De configuratie is opgeslagen."
"Weight vs. Destination","Gewicht vs. Bestemming"
"Price vs. Destination","Prijs vs. Bestemming"
"# of Items vs. Destination","# Items vs. Bestemming"
"Fixed","Vast"
"Percent","Percentage"
"TIG_PostNL2014::There are no log files to be downloaded.","Er zijn geen log files om te downloaden."
TIG_PostNL2014::PostNL location minimum order total enabled,PostNL locatie minimum totaal bedrag actief
"TIG_PostNL2014::PostNL location minimum order total, incl. BTW","PostNL locatie minimum totaal bedrag, incl. BTW"
TIG_PostNL2014::Mailbox title,Brievenbuspakje titel
TIG_PostNL2014::Leave blank to automate mailbox packets only in the backend,Laat leeg om brievenbuspakjes alleen in de backend te automatiseren
TIG_PostNL2014::Mailbox weight,Brievenbuspakje gewicht
TIG_PostNL2014::Mailbox with other options,Brievenbuspakje tonen met andere opties
