DMP_PostNL::Enabled,Geactiveerd
DMP_PostNL::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s.
DMP_PostNL::Address is too long. Make the delivery address less than 40 characters. Click on send (in the order detail page) to create a concept.,Adres is te lang. Maak het bezorgadres korter dan 40 tekens.
DMP_PostNL::Something went wrong with splitting up address %s.,Er is iets fout gegaan met het opsplitsen van adres %s.
DMP_PostNL::Something went wrong with splitting up housenumber %s.,Er is iets fout gegaan met het opsplitsen van huisnummer %s.
DMP_PostNL::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
DMP_PostNL::Invalid session requested.,Invalide sessie opgevraagd
DMP_PostNL::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
DMP_PostNL::No message supplied.,Geen bericht meegegeven
DMP_PostNL::No message type supplied.,Geen bericht-type meegegeven
DMP_PostNL::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
DMP_PostNL::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
DMP_PostNL::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
DMP_PostNL::Invalid createConsignment response.,Invalide createConsignment antwoord
DMP_PostNL::Streetname is to long: %s.,Straatnaam is te lang: %s (gebruikt maximaal 40 letters)
DMP_PostNL::Shipping status,Verzend status
DMP_PostNL::PostNL - Create Shipments,PostNL - Cre&euml;er verzendingen
DMP_PostNL::PostNL - Print shipping labels,PostNL - Print verzend labels
DMP_PostNL::Download log files,Download log bestanden
DMP_PostNL::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
DMP_PostNL::Flat,Plat
DMP_PostNL::Table,Tabel
DMP_PostNL::Invalid PakjeGemak address.,Ongeldig PostNL locatie adres.
DMP_PostNL::Invalid phone number.,Invalide telefoonnummer.
DMP_PostNL::Invalid housenumber extension.,Invalide huisnummer extensie.
DMP_PostNL::A4,A4
DMP_PostNL::A6,A6
DMP_PostNL::Commercial Goods,Commerciele goederen
DMP_PostNL::Commercial Sample,Commercieel Proef
DMP_PostNL::Documents,Documenten
DMP_PostNL::Gift,Gift
DMP_PostNL::Returned Goods,Retour goederen
DMP_PostNL::Yes,Ja
DMP_PostNL::No,Nee
DMP_PostNL::Postnl Consignment Options,PostNL Verzend Opties
DMP_PostNL::Insured amount,Verzekerd bedrag
DMP_PostNL::Insured,Verzekerd
DMP_PostNL::PostNL version %s,PostNL versie %s
DMP_PostNL::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
DMP_PostNL::Magento Community Edition version,Magento Community Edition versie
DMP_PostNL::Magento Enterprise Edition version,Magento Enterprise Edition versie
DMP_PostNL::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
DMP_PostNL::IWD's OnePageCheckout version,IWD's OnePageCheckout versie
DMP_PostNL::Support,Ondersteuning
DMP_PostNL::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
DMP_PostNL::Account questions and information,Account vragen en informatie
"DMP_PostNL::For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.","Voor vragen gerelateerd aan uw account, configuratie problemen, extensie conflicten en bugs, neemt u contact op met ons."
DMP_PostNL::Phone,Telefoon
DMP_PostNL::Online knowledgebase,Online kennisbank
DMP_PostNL::Request help directly,Vraag direct hulp
DMP_PostNL::Email,E-mail
DMP_PostNL::Documentation,Documentatie
DMP_PostNL::A list of documents regarding the extension.,Een lijst met document aangaande de extensie.
DMP_PostNL::View the installation and configuration manual.,Bekijk de installatie en configuratie handleiding.
DMP_PostNL::Installation and configuration manual,Installatie en configuratie handleiding
DMP_PostNL::View the user manual.,Bekijk de gebruikers handleiding
DMP_PostNL::User manual,Gebruikers handleiding
DMP_PostNL::View the complete changelog of the extension.,Bekijk de volledige release notes van de extensie
DMP_PostNL::Latest stable release,Laatste stabiele versie
DMP_PostNL::Full changelog,Volledige release notes
DMP_PostNL::PostNL PgAddress class missing.,PostNL PgAddress class mist
DMP_PostNL::Select a transactional e-mail template to send the retourlink,Selecteer een transactionele e-mail template om de retourlink te verzenden.
DMP_PostNL::Select a transactional e-mail template to send the barcode,Selecteer een transactionele e-mail template om de Track&amp;Trace code te versturen
DMP_PostNL::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,"Maak een transactionele e-mail aan, daarin zal de variabele {{var retourlink}} beschikbaar zijn om te retourlink te verzenden."
DMP_PostNL::Unable to send track and trace email for shipment #,Versturen van track & trace e-mail mislukt voor zending #
DMP_PostNL::Track&amp;Trace e-mail is sent: %s,Track & Trace e-mail is verzonden: %s
DMP_PostNL::Credit Consignment,Crediteer zending
DMP_PostNL::Mail return label,Mail retourlabel
DMP_PostNL::Retour label mailed,Retour label is gemaild naar de klant
DMP_PostNL::This only works for Dutch addresses,Dit werkt alleen voor nederlandse adressen
DMP_PostNL::Name client,Naam klant
DMP_PostNL::Email client,Email klant
DMP_PostNL::Label description,Eigen kenmerk
DMP_PostNL::You did not specify a name,Je hebt geen naam opgeven
DMP_PostNL::You did not specify a email,Je hebt geen email opgeven
DMP_PostNL::Mail send to,Mail verzonden naar
"DMP_PostNL::Credit has not been created, check PostNL backend for details","Credit is niet aangemaakt, zie PostNL backend voor meer informatie."
DMP_PostNL::Consignment %s is credited at PostNL,Zending %s is gecrediteerd bij PostNL.
"DMP_PostNL::Select 'no' if you have problems with addresses on the labels","Selecteer 'nee' als u problemen heeft met adressen op de labels."
DMP_PostNL::Split street parts,Deel straatnaam velden op
DMP_PostNL::Streetname field,Straatnaam veld
DMP_PostNL::Housenr. field,Huisnummer veld
DMP_PostNL::Split house number parts,Deel huisnummervelden op
DMP_PostNL::Housenr. extension field,Huisnr. extensie veld
DMP_PostNL::Street line #%s,Adresregel #%s
DMP_PostNL::The weight in Magento is specified in gram instead of kg,Het gewicht in Magento is opgegeven in gram i.p.v. kg
DMP_PostNL::Select 'Yes' if the weight is not properly picked up by the PostNL plugin,Selecteer 'Ja' als het gewicht niet goed wordt opgepakt door de PostNL plugin
DMP_PostNL::This will be added to the regular shipping price,Dit zal bij de normale verzendkosten worden opgeteld
DMP_PostNL::Not possible if Pickup at PostNL location is not active,Dit zal niet mogelijk zijn zodra ophalen bij een PostNL locatie niet geactiveerd is
DMP_PostNL::Default shipment type for Cross Domestic shipments,Standaard verzend inhoud voor Cross Domestic verzendingen
"DMP_PostNL::When changing the address, you need to cancel the current PostNL shipment(s) linked to this order and create new PostNL shipments.","Wanneer het adres gewijzigd wordt, bent u genoodzaakt om de gekoppelde PostNL verzendingen te crediteren en nieuwe PostNL verzendingen aan te maken."
"DMP_PostNL::To read the instructions for the Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","Klik <a target=""_blank"" href=""%s"">hier</a> om de handleiding van de Magento extensie te bekijken."
DMP_PostNL::When using the extension please note:,Aandachtspunten bij het gebruik van deze extensie:
DMP_PostNL::To be able to configure the extension you need to possess and use an active account.,U dient een actief account te hebben om de extensie te kunnen configureren.
"DMP_PostNL::During the transition phase the old Magento PostNL extension can remain active. However, you do need to turn off PakjeGemak in the old PostNL extension.",Indien u de oude PostNL extensie gebruikt kan deze actief blijven in de overgangsfase. Wel dient u PakjeGemak in de oude PostNL extensie uit te schakelen.
DMP_PostNL::We cannot guarantee perfect functionality of the extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact us.<br><br>Supported extensions:,"Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met ons.<br><br>Ondersteunde extensies:"
DMP_PostNL::Installation and configuration instructions,Installatie en configuratie handleiding
DMP_PostNL::Overview articles in knowledge base,Meest gestelde vragen
DMP_PostNL::Questions and information about your account,Account vragen en informatie
"DMP_PostNL::Shipments will not be delivered at the neighbours, only on house address.","Zendingen worden niet bij de buren aangeboden, alleen op huisadres."
DMP_PostNL::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Zendingen gaan niet naar een afhaallocatie en komen direct retour na bezorgpogingen.
DMP_PostNL::Unable to save check_status cron expression: %s,Het is niet gelukt om de check_status cron expressie op te slaan: %s
DMP_PostNL::Some of the shipments could not be created or could not be created at PostNL from the selected orders. See below for detailed information.,Een aantal van de geselecteerde orders is een foutmelding opgetreden tijdens het aanmaken van de verzending. Zie hieronder voor gedetailleerde informatie.
DMP_PostNL::Select A4 print start position,Selecteer de A4 print start positie
"DMP_PostNL::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Vul de goederen code voor zendingen buiten de EU in, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de bestaande codes."
DMP_PostNL::Create PostNL Consignment,Cre&euml;er PostNL verzending
DMP_PostNL::Orders until today,Alle orders t/m vandaag verzenden
DMP_PostNL::Send today,Alleen vandaag verzenden
DMP_PostNL::Send until tomorrow,Alle orders t/m morgen verzenden
DMP_PostNL::Send later,Later verzenden
DMP_PostNL::Old orders,Alle orders t/m gisteren
DMP_PostNL::Track&amp;Trace link: %s,Track&amp;Trace link: %s
DMP_PostNL::Is letter box parcel,Is brievenbuspakje
DMP_PostNL::Shipment type,Zendingtype
DMP_PostNL::Accordance with type consignment,Conform type zending
DMP_PostNL::Normal,Pakket
DMP_PostNL::Letter box,Brievenbuspakje
DMP_PostNL::Unstamped,Ongefrankeerd
DMP_PostNL::The PostNL consignment is successfully created.,De PostNL zending is succesvol aangemaakt.
DMP_PostNL::Choose a pickup location,Selecteer PostNL Verzendopties
DMP_PostNL::Selected post office location:,Geselecteerde postkantoor locatie:
DMP_PostNL::Zipcode,Postcode
DMP_PostNL::Search by zipcode, address or city,Zoek op postcode, adres of plaats
DMP_PostNL::Search by zipcode and housenumber,Zoeken op postcode en huisnummer
"DMP_PostNL::Search by zipcode, address or city","Zoek op postcode, adres of plaats"
"DMP_PostNL::Search by zipcode and housenumber","Zoeken op postcode en huisnummer"
"DMP_PostNL::Unfortunately no locations could be found. Please check your postcode and house number combination.","Er zijn geen resultaten gevonden. Probeer een andere postcode/huisnummer combinatie en/of verwijder de huisnummertoevoeging."
DMP_PostNL::Housenumber,Huisnummer
DMP_PostNL::Search,Zoeken
DMP_PostNL::Nearest postnl pickup points,Dichtstbijzijnde afhaal locaties
DMP_PostNL::PostNL location Method name,PostNL locatie methode naam
DMP_PostNL::Unpaid,Ongefrankeerd
DMP_PostNL::The consignment is already credited.,Deze zending is al gecrediteerd.
DMP_PostNL::PostNL - Create labels,PostNL - Cre&euml;er labels
DMP_PostNL::Print packing slip,Print pakbon
DMP_PostNL::Send,Verzenden
DMP_PostNL::Today,Vandaag
DMP_PostNL::Letterbox,Brievenbuspakje
DMP_PostNL::Select,Selecteer
DMP_PostNL::Insured up to:,Verzekeren tot:
DMP_PostNL::Close,Sluiten
DMP_PostNL::International shipments can not be sent by,Internationale zendingen kunnen niet verzonden worden met een
DMP_PostNL::Choose a PostNL pickup location,Kies PostNL afhaallocatie
"DMP_PostNL::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","Het geselecteerde zending-type kan niet gebruikt worden, 'PostNL locatie' zendingen kunnen enkel aangemaakt worden met het normale verzend-type."
DMP_PostNL::Create shipments (no labels),Cre&euml;er verzendingen (geen labels)
DMP_PostNL::Insured up to &euro;%s,Verzekerd tot &euro;%s
DMP_PostNL::Total order value: &euro; %s,Totaal order bedrag: &euro; %s
DMP_PostNL::Shipment insured up to &euro; %s purchase value,Verzekerd tot een inkoopbedrag van € %s,-
DMP_PostNL::Post Office Address,Gekozen afhaallocatie
"DMP_PostNL::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a PostNL shipment, select a different shipment type or go to the shipment page to create a single PostNL shipment. <a target=""_blank"" href=""%s"">View shipment</a>","De geselecteerde zending type kan niet gebruikt worden. 'PostNL locatie' zendingen kunnen enkel aangemaakt worden middels de normale verzendtype. <br/>De Magento zending is aangemaakt zonder een PostNL zending, selecteer een ander verzend type of ga naar de Magento zending pagina en maak daar een PostNL zending aan. <a target=""_blank"" href=""%s"">Bekijk zending</a>"
DMP_PostNL::Only for dutch shipments,Alleen voor Nederlandse verzendingen
"DMP_PostNL::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
DMP_PostNL::Always use PostNL,Gebruik PostNL voor alle verzendmethodes
"DMP_PostNL::Select 'No' in order to set the shipping methods that must be regarded as PostNL.","Selecteer 'Nee' om de verzendmethodes in te stellen die als PostNL beschouwd moet worden."
DMP_PostNL::Use shipment address for PostNL location,Voeg PostNL locatie toe aan het afleveradres
DMP_PostNL::Use shipment address for 'Ophalen op een PostNL locatie'. The customer will see the address on the invoice. Set to 'No' if you are using AfterPay.,Gebruik het afleveradres voor 'Ophalen op een PostNL locatie'. De klant zal het adres op het factuur zien. Stel in op 'Nee' als je bijvoorbeeld AfterPay gebruikt.
DMP_PostNL::Show delivery date on invoice,"Toon bezorgdatum op factuur"
"DMP_PostNL::Show delivery date on invoice, packing slip, user account and Magento confirmation mail","Toon bezorgdatum op factuur, pakbon, gebruikersaccount en Magento orderbevestiging"
DMP_PostNL::Use filter in order overview,Gebruik filter in order overzicht
"DMP_PostNL::Select 'No' if you are using a plugin that is present in the order summary and therefore experience problems.","Selecteer 'nee' als je een plugin gebruikt die aanwezig is in het order overzicht en daardoor problemen ervaart."

DMP_PostNL::status_1,Concept
DMP_PostNL::status_2,Voorgemeld
DMP_PostNL::status_3,Aangeboden aan postNL
DMP_PostNL::status_4,In sorteerproces
DMP_PostNL::status_5,In distributie
DMP_PostNL::status_6,Zending bij douane
DMP_PostNL::status_7,Zending afgeleverd
DMP_PostNL::status_8,Zending op afhaallocatie
DMP_PostNL::status_9,Zending afgehaald op afhaallocatie
DMP_PostNL::status_10,Retourzending afgeleverd
DMP_PostNL::status_11,Retourzending op afhaallocatie
DMP_PostNL::status_12,Ongefrankeerd label geprint
DMP_PostNL::status_13,Gecrediteerd
DMP_PostNL::status_30,Inactief - Concept
DMP_PostNL::status_31,Inactief - Voorgemeld
DMP_PostNL::status_32,Inactief - Aangeboden bij PostNL
DMP_PostNL::status_33,Inactief - In sorteerprocess
DMP_PostNL::status_34,Inactief - In distributie
DMP_PostNL::status_35,Inactief - Zending bij douane
DMP_PostNL::status_36,Inactief - Zending afgeleverd
DMP_PostNL::status_37,Inactief - Zending op afhaallocatie
DMP_PostNL::status_38,Inactief - Zending afgehaald op afhaallocatie
DMP_PostNL::status_39,Inactief - Retourzending afgeleverd
DMP_PostNL::status_40,Inactief - Retourzending op afhaallocactie
DMP_PostNL::status_99,Inactief - Onbekende status

"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Specifieke landen"
"The configuration has been saved.","De configuratie is opgeslagen."
"Weight vs. Destination","Gewicht vs. Bestemming"
"Price vs. Destination","Prijs vs. Bestemming"
"# of Items vs. Destination","# Items vs. Bestemming"
"Fixed","Vast"
"Percent","Percentage"
"DMP_PostNL::There are no log files to be downloaded.","Er zijn geen log files om te downloaden."
DMP_PostNL::PostNL location minimum order total enabled,PostNL locatie minimum totaal bedrag actief
"DMP_PostNL::PostNL location minimum order total, incl. BTW","PostNL locatie minimum totaal bedrag, incl. BTW"
DMP_PostNL::Mailbox title,Brievenbuspakje titel
DMP_PostNL::Leave blank to automate mailbox packets only in the backend,Laat leeg om brievenbuspakjes alleen in de backend te automatiseren
DMP_PostNL::Mailbox weight,Brievenbuspakje gewicht
DMP_PostNL::Mailbox with other options,Brievenbuspakje tonen met andere opties
"DMP_PostNL::Besides assigning weights to all products, you can also specify a volume of each product.","Om deze functie optimaal te gebruiken, stel je eerst het gewicht of volume in van jouw producten."
DMP_PostNL::Mailbox fee,Brievenbuspakje prijs
DMP_PostNL::Enter a basic price for a mailbox. The regular price will not affect this price.,Vul een totaalprijs in voor een brievenbuspakje.
DMP_PostNL::Automate mailbox package,Brievenbuspakje automatiseren
"DMP_PostNL::PostNL location will not be visible if the subtotal of an order is below this value","'Ophalen op een PostNL locatie' zal niet zichtbaar zijn als het bedrag van een bestelling onder deze waarde valt"

DMP_PostNL::PostNL location:,PostNL locatie:
DMP_PostNL::deliver:,bezorgen:
DMP_PostNL::TYPE_night,Avondlevering
DMP_PostNL::TYPE_morning,Ochtendlevering
DMP_PostNL::TYPE_standard,Middaglevering
DMP_PostNL::TYPE_retailexpress,Extra vroeg ophalen
